Time     Temperature!     Force
36.180000 28.000000 28.000000 
36.520000 36.050000 36.050000 
36.642000 28.000000 28.000000 
36.984000 36.000000 36.000000 
37.104000 28.000000 28.000000 
37.423000 36.130000 36.130000 
37.544000 28.000000 28.000000 
37.885000 36.060000 36.060000 
38.005000 28.000000 28.000000 
38.325000 35.980000 35.980000 
38.445000 28.000000 28.000000 
38.784000 36.070000 36.070000 
38.904000 28.000000 28.000000 
39.244000 35.960000 35.960000 
39.364000 28.000000 28.000000 
39.702000 35.910000 35.910000 
39.823000 28.000000 28.000000 
40.142000 35.980000 35.980000 
40.263000 28.000000 28.000000 
40.601000 35.940000 35.940000 
40.722000 28.000000 28.000000 
41.064000 35.960000 35.960000 
41.184000 28.000000 28.000000 
41.502000 36.000000 36.000000 
41.622000 28.000000 28.000000 
41.960000 35.960000 35.960000 
42.081000 28.000000 28.000000 
42.421000 35.980000 35.980000 
42.543000 28.000000 28.000000 
42.862000 35.960000 35.960000 
42.983000 28.000000 28.000000 
43.324000 35.890000 35.890000 
43.444000 28.000000 28.000000 
43.785000 36.040000 36.040000 
43.905000 28.000000 28.000000 
44.226000 35.940000 35.940000 
44.347000 28.000000 28.000000 
44.687000 35.950000 35.950000 
44.808000 28.000000 28.000000 
45.148000 35.930000 35.930000 
45.269000 28.000000 28.000000 
45.588000 35.950000 35.950000 
45.709000 28.000000 28.000000 
46.052000 35.880000 35.880000 
46.172000 28.000000 28.000000 
46.491000 35.910000 35.910000 
46.611000 28.000000 28.000000 
46.952000 35.830000 35.830000 
47.072000 28.000000 28.000000 
47.410000 35.890000 35.890000 
47.531000 28.000000 28.000000 
47.871000 35.870000 35.870000 
47.991000 28.000000 28.000000 
48.313000 35.910000 35.910000 
48.433000 28.000000 28.000000 
48.775000 35.840000 35.840000 
48.895000 28.000000 28.000000 
49.234000 35.870000 35.870000 
49.354000 28.000000 28.000000 
49.673000 35.800000 35.800000 
49.794000 28.000000 28.000000 
50.135000 35.880000 35.880000 
50.256000 28.000000 28.000000 
50.594000 35.800000 35.800000 
50.714000 28.000000 28.000000 
51.033000 35.780000 35.780000 
51.153000 28.000000 28.000000 
51.494000 35.880000 35.880000 
51.614000 28.000000 28.000000 
51.955000 35.830000 35.830000 
52.076000 28.000000 28.000000 
52.395000 35.800000 35.800000 
52.515000 28.000000 28.000000 
52.857000 35.800000 35.800000 
52.977000 28.000000 28.000000 
53.316000 35.730000 35.730000 
53.437000 28.000000 28.000000 
53.753000 35.800000 35.800000 
53.874000 28.000000 28.000000 
54.214000 35.840000 35.840000 
54.335000 28.000000 28.000000 
54.675000 35.780000 35.780000 
54.795000 28.000000 28.000000 
55.115000 35.760000 35.760000 
55.235000 28.000000 28.000000 
55.574000 35.760000 35.760000 
55.694000 28.000000 28.000000 
56.033000 35.750000 35.750000 
56.153000 28.000000 28.000000 
56.475000 35.770000 35.770000 
56.595000 28.000000 28.000000 
56.936000 35.770000 35.770000 
57.056000 28.000000 28.000000 
57.397000 35.750000 35.750000 
57.518000 28.000000 28.000000 
57.838000 35.700000 35.700000 
57.959000 28.000000 28.000000 
58.300000 35.710000 35.710000 
58.421000 28.000000 28.000000 
58.760000 35.690000 35.690000 
58.880000 28.000000 28.000000 
59.200000 35.760000 35.760000 
59.320000 28.000000 28.000000 
59.659000 35.730000 35.730000 
59.779000 28.000000 28.000000 
60.119000 35.660000 35.660000 
60.240000 28.000000 28.000000 
60.559000 35.690000 35.690000 
60.680000 28.000000 28.000000 
61.020000 35.660000 35.660000 
61.140000 28.000000 28.000000 
61.480000 35.590000 35.590000 
61.601000 28.000000 28.000000 
61.920000 35.650000 35.650000 
62.040000 28.000000 28.000000 
62.384000 35.590000 35.590000 
62.504000 28.000000 28.000000 
62.843000 35.640000 35.640000 
62.963000 28.000000 28.000000 
63.281000 35.580000 35.580000 
63.401000 28.000000 28.000000 
63.742000 35.660000 35.660000 
63.862000 28.000000 28.000000 
64.203000 35.600000 35.600000 
